김밥덕후,Gimbap Deokhu,Campus Town,치즈돈가스,Cheese donkatsu,Cheese Pork Cutlet,돈까스,돈까스,Korean,8000,3,2,2,돼지고기,0,0,1,33
김밥덕후,Gimbap Deokhu,Campus Town,고구마돈가스,Goguma donkatsu,Sweet Potato Pork Cutlet,돈까스,돈까스,Korean,8000,2,2,2,돼지고기,0,0,1,34
김밥덕후,Gimbap Deokhu,Campus Town,돈가스 세트,Donkatsu set,Pork Cutlet Set,돈까스,돈까스,Korean,12000,2,2,2,돼지고기,0,0,1,35
김밥덕후,Gimbap Deokhu,Campus Town,동태찌개,Dontae jjigae,Pollack Stew,매운국물,동태찌개,Korean,8000,3,1,3,동태,0,1,1,36
김밥덕후,Gimbap Deokhu,Campus Town,된장찌개,Doenjang jjigae,Soy Bean Paste Soup,국물,된장찌개,Korean,6500,3,1,3,된장,1,1,1,37
김밥덕후,Gimbap Deokhu,Campus Town,청국장,Chonggukjang,Fermented Soybean Paste Soup ,국물,된장찌개,Korean,6500,4,1,3,된장,1,1,1,38
김밥덕후,Gimbap Deokhu,Campus Town,사골떡국,Sagoltteokguk,Rice Cake Bone Soup ,"떡국,만두국",떡국/만두국,Korean,7000,3,1,2,떡,0,0,1,39
김밥덕후,Gimbap Deokhu,Campus Town,사골만두국,Sagolmanduguk,Dumpling Bone Soup,"떡국,만두국",떡국/만두국,Korean,7000,3,1,2,만두,0,0,1,40
김밥덕후,Gimbap Deokhu,Campus Town,사골떡만두국,Sagoltteokmanduguk,Rice Cake and Dumpling Bone Soup,"떡국,만두국",떡국/만두국,Korean,7000,3,1,2,떡,0,0,1,41
김밥덕후,Gimbap Deokhu,Campus Town,떡볶이,Tteokbokki,Spicy Rice Cake,떡볶이,떡볶이,Korean,5000,3,2,3,떡,1,1,1,42
김밥덕후,Gimbap Deokhu,Campus Town,라볶이,Rabokki,Spicy Rice Cake With Ramyun Noodles,떡볶이,떡볶이,Korean,5000,3,2,3,떡,1,1,1,43
김밥덕후,Gimbap Deokhu,Campus Town,쫄볶이,Jjolbokki,Spicy Rice Cake With Stringy Noodles,떡볶이,떡볶이,Korean,5000,3,2,3,떡,1,1,1,44
김밥덕후,Gimbap Deokhu,Campus Town,라면,Ramyeon,Ramen ,라면,라면,Korean,3500,3,1,3,면,1,1,1,45
김밥덕후,Gimbap Deokhu,Campus Town,떡라면,Tteok ramyeon,Rice Cake Ramen,라면,라면,Korean,4000,3,1,3,면,1,1,1,46
김밥덕후,Gimbap Deokhu,Campus Town,치즈라면,Cheese ramyeon,Cheese Ramen,라면,라면,Korean,4000,4,2,3,면,1,1,1,47
김밥덕후,Gimbap Deokhu,Campus Town,만두라면,Mandu ramyeon,Ramen With Dumplings,라면,라면,Korean,4000,3,1,3,면,1,1,1,48
김밥덕후,Gimbap Deokhu,Campus Town,짬뽕라면,Jjamppong ramyeon,Spicy Seafood Ramen,라면,라면,Korean,5000,4,1,3,면,1,1,1,49
김밥덕후,Gimbap Deokhu,Campus Town,새우볶음밥,Shrimp Fried Rice,,볶음밥,볶음밥,Korean,7500,2,1,2,밥,1,1,1,50
김밥덕후,Gimbap Deokhu,Campus Town,소고기볶음밥,Beef Fried Rice,,볶음밥,볶음밥,Korean,7500,2,1,2,밥,1,1,1,51
김밥덕후,Gimbap Deokhu,Campus Town,계란볶음밥,Egg Fried Rice,,볶음밥,볶음밥,Korean,7000,2,1,2,밥,1,1,1,52
김밥덕후,Gimbap Deokhu,Campus Town,햄야채볶음밥,Ham Vegetable Fried Rice,,볶음밥,볶음밥,Korean,7000,2,1,2,밥,1,1,1,53
김밥덕후,Gimbap Deokhu,Campus Town,부대찌개,Budaejjigae,,국물,부대찌개,Korean,8000,4,1,3,돼지고기,0,0,1,54
김밥덕후,Gimbap Deokhu,Campus Town,뚝배기불고기,Ttukbaegi bulgogi ,Grilled Bulgogi,불고기,불고기,Korean,8000,4,1,2,소고기,0,1,0,55
김밥덕후,Gimbap Deokhu,Campus Town,불고기덮밥,Bulgogi deopbap,Bulgogi Rice Bowl,덮밥,불고기덮밥,Korean,8000,3,1,2,소고기,0,1,0,56
김밥덕후,Gimbap Deokhu,Campus Town,비빔국수,Bibimguksu,Bibim Noodles,국수,비빔국수,Korean,6000,2,1,3,면,1,1,1,57
김밥덕후,Gimbap Deokhu,Campus Town,쫄면,Jjolmyeon,Spicy Mixed Noodles,국수,비빔국수,Korean,6000,2,1,3,면,1,1,1,58
김밥덕후,Gimbap Deokhu,Campus Town,알밥,Albap,Fish Egg Rice Bowl,비빔밥,비빔밥,Korean,6500,2,1,2,밥,1,1,1,59
김밥덕후,Gimbap Deokhu,Campus Town,비빔밥,Bibimbap,,비빔밥,비빔밥,Korean,6000,2,1,3,밥,1,1,1,60
김밥덕후,Gimbap Deokhu,Campus Town,돌솥비빔밥,Dolsot bibimbap,Stone Bowl Bibimbap,비빔밥,비빔밥,Korean,6500,2,1,3,밥,1,1,1,61
김밥덕후,Gimbap Deokhu,Campus Town,고등어구이백반,Godeungeogui baekban,Grilled Mackerel Set Menu,생선구이,생선구이,Korean,9000,2,1,2,생선,0,1,1,62
김밥덕후,Gimbap Deokhu,Campus Town,고등어 김치 조림,Godeungeo kimchi jorim,Braised Mackerel and Kimchi Stew,생선구이,생선조림,Korean,7000,3,1,3,생선,0,1,1,63
김밥덕후,Gimbap Deokhu,Campus Town,순두부찌개,Sundubu jjigae,Soft Tofu Stew,매운국물,순두부찌개,Korean,6500,4,1,3,돼지고기,0,1,1,64
김밥덕후,Gimbap Deokhu,Campus Town,알탕,Altang,Fish Egg Stew,국물,알탕,Korean,8000,2,1,3,해산물,0,1,1,65
김밥덕후,Gimbap Deokhu,Campus Town,오므라이스,Omurice,,오므라이스,오므라이스,Korean,7000,2,2,2,계란,0,1,1,66
김밥덕후,Gimbap Deokhu,Campus Town,김치오므라이스,Kimchi omurice,,오므라이스,오므라이스,Korean,7000,3,2,2,계란,0,1,1,67
김밥덕후,Gimbap Deokhu,Campus Town,오징어 덮밥,Ojingeo deopbap,Squid Rice Bowl,덮밥,오징어덮밥,Korean,8000,3,1,3,오징어,0,1,1,68
김밥덕후,Gimbap Deokhu,Campus Town,우동,Udon,,우동,우동,Japanese,5500,3,1,2,밀가루,1,1,1,69
